id,lat,lng,categoria_pbi,dia_pbi,endereco_pbi,subprefeitura_pbi
1153-3,-23.5979119,-46.7526382,Tradicional,Domingo,"Rua Edward Carmilo, 675 - Jd Celeste - São Paulo , 05528-001",Butantã
1154-1,-23.5488414,-46.6428115,Tradicional,Domingo,"Rua Major Quedinho, 89 - Consolacao - São Paulo , 01050-030",Sé
1155-0,-23.6146916,-46.5018814,Tradicional,Domingo,"Av Arquiteto Vila Nova Artigas, 1 - Sapopemba - São Paulo , 03928-240",Sapopemba
1161-4,-23.7386093,-46.6942265,Tradicional,Domingo,"Rua Benedito Marcello, 167 - Parque São Paulo - São Paulo , 04843-225",Capela Do Socorro
1165-7,-23.520027,-46.3981421,Tradicional,Domingo,"Rua Augusto Albereci, 15 - Jd Nazare - São Paulo , 08142-500",Itaim Paulista
1171-1,-23.5051878,-46.4492369,Tradicional,Domingo,"Rua Tejuguacu, 50 - Vila Jacui - São Paulo , 08060-310",São Miguel Paulista
1173-8,-23.6934325,-46.6952504,Tradicional,Domingo,"Rua Inacio De Almeida Arruda, S/N - Vila Da Paz - São Paulo , 04777-050",Capela Do Socorro
1174-6,-23.7767654,-46.6940843,Tradicional,Domingo,"Rua Luar De Lagrimas, 15 - Jd Novo Horizonte - São Paulo , 04856-210",Capela Do Socorro
1175-4,-23.5391666,-46.6375803,Tradicional,Domingo,"Rua Dos Andradas C/ Timbiras, 100 - Sta Efigenia - São Paulo , 01208-000",Sé
1177-0,-23.6625003,-46.7796475,Tradicional,Domingo,"Rua Modelar, 50 - Capao Redondo - São Paulo , 05868-790",Campo Limpo
1179-7,-23.5235473,-46.4729256,Tradicional,Domingo,"Rua Terra Brasileira, 50 - Vila Suica - São Paulo , 08223-355",Itaquera
1183-5,-23.5656289,-46.3958944,Tradicional,Domingo,"Av Utaro Kanai C/ Festa Chinesa, 546 - Jd São Paulo - São Paulo , 08465-000",Guaianases
1184-3,-23.5902566,-46.3948422,Tradicional,Domingo,"Rua Bartolino De Padua, 200 - Itaquera - São Paulo , 08470-780",Cidade Tiradentes
1190-8,-23.4523512,-46.577835,Tradicional,Domingo,"Rua Ari Da Rocha Miranda, S/N - Vila Nova Galvao - São Paulo , 02281-190",Jaçanã/Tremenbé
1192-4,-23.5562868,-46.6400059,Tradicional,Domingo,"Rua Santo Amaro, 100 - Bela Vista - São Paulo , 01315-000",Sé
1193-2,-23.5863971,-46.8036992,Tradicional,Domingo,"Rua Cachoeira Do Arrependimento, 100 - Jd Arpoador - São Paulo , 05574-440",Butantã
1194-0,-23.6113772,-46.454893,Tradicional,Domingo,"Av Bassano Del Grapa, 100 - Jd Vila Carrao - São Paulo , 08340-420",São Mateus
1197-5,-23.5557714,-46.6395571,Tradicional,Domingo,"Rua Salto De Itarare, 30 - Jd Jose Maria - São Paulo , 02982-020",Pirituba/Jaraguá
1198-3,-23.5710914,-46.6581094,Tradicional,Domingo,"Al Lorena, 400 - Jd America - São Paulo , 01424-002",Pinheiros
1199-1,-23.6464736,-46.7575497,Tradicional,Domingo,"Rua Nsra Bom Conselho, 301 - Pinheiros - São Paulo , 05763-470",Campo Limpo
1200-9,-23.5086361,-46.6870791,Tradicional,Domingo,"Rua Cel Euclides Machado,  - Jd Das Gracas - São Paulo , 02713-000",Casa Verde/Cachoeirinha
1204-1,-23.6043504,-46.5958974,Tradicional,Domingo,"Rua Freire Brayner, 121 - Sacoma - São Paulo , 04235-243",Ipiranga
1205-0,-23.630215,-46.6807207,Tradicional,Domingo,"Rua Conde De Porto Alegre, 50 - Campo Belo - São Paulo , 04608-000",Santo Amaro
1207-6,-23.591201,-46.4167177,Tradicional,Domingo,"Av Nascer Do Sol, 100 - Sta Etelvina Cohab - São Paulo , 08485-020",Cidade Tiradentes
