id,lat,lng
1268-8,-23.6321644,-46.7288351
1270-0,-23.7843498,-46.6831417
1274-2,-23.5449112,-46.3930976
1278-5,-23.6428638,-46.7332228
1312-9,-23.6291117,-46.739513
1360-9,-23.4648044,-46.6646142
1370-6,-23.5414636,-46.4360186
1377-3,-23.5016529,-46.7187629
1380-3,-23.5338882,-46.4650951
1390-0,-23.479188099999998,-46.7470833
1413-3,-23.5278799,-46.6733949
1432-0,-23.53570499,-46.52928621
1488-5,-23.49295254,-46.50564391
1493-1,-23.5564676,-46.5607361
1761-2,-23.5705631,-46.4008218
1820-1,-23.65877404,-46.76721337
1849-0,-23.5141268,-46.5951686
1854-6,-23.530922,-46.529018
1892-9,-23.6261055,-46.7481496
1924-0,-23.4895,-46.7377604
1959-3,-23.5359866,-46.3975006
3000-7,-23.5585974,-46.5586596
3001-5,-23.5497264,-46.640692
3003-1,-23.6212977,-46.6122475
3004-0,-23.54467,-46.6650304
3005-8,-23.5796916,-46.6333692
3006-6,-23.5379063,-46.6007957
3007-4,-23.539203,-46.6052598
3008-2,-23.5396918,-46.6732384
3009-0,-23.5811298,-46.6513128
3010-4,-23.5676663,-46.5945341
3011-2,-23.5918919,-46.6081744
3012-0,-23.5590835,-46.5932551
3013-9,-23.5577692,-46.5857661
3014-7,-23.5180909,-46.604957
3015-5,-23.5359465,-46.5769553
3016-3,-23.6400221,-46.7152964
3017-1,-23.5979025,-46.671474
3018-0,-23.6039584,-46.6351512
3019-8,-23.5337726,-46.7015704
3020-1,-23.6181498,-46.6595056
3021-0,-23.6156055,-46.6437813
3022-8,-23.6219721,-46.6344463
3023-6,-23.6383577,-46.6089405
3024-4,-23.5310989,-46.562215
3025-2,-23.4959389,-46.6050216
3026-0,-23.507442,-46.6011698
3027-9,-23.6062742,-46.6898308
3029-5,-23.490143,-46.5931551
3030-9,-23.4987269,-46.5826217
3031-7,-23.4840339,-46.6215471
3032-5,-23.477717,-46.598481
3033-3,-23.4945979,-46.6475804
3034-1,-23.516808,-46.7213664
3035-0,-23.4993746,-46.6987035
3036-8,-23.6323128,-46.6244656
3037-6,-23.6384837,-46.6448984
3038-4,-23.6000811,-46.7210113
3039-2,-23.576619,-46.7428311
3040-6,-23.7370598,-46.6904873
3041-4,-23.5476165,-46.5537785
3043-0,-23.5259661,-46.5367001
3044-9,-23.5027637,-46.5294822
3045-7,-23.6204785,-46.6868636
3046-5,-23.6568034,-46.6724121
3047-3,-23.5115513,-46.514914
3048-1,-23.5221545,-46.5135548
3049-0,-23.5327135,-46.5123477
3050-3,-23.5269834,-46.4975473
3051-1,-23.4973791,-46.4249223
3052-0,-23.5718694,-46.5687529
3053-8,-23.4086717,-46.7504548
3054-6,-23.4556932,-46.5947315
3055-4,-23.5508381,-46.750051
3057-0,-23.5772475,-46.5544819
3058-9,-23.4908885,-46.6360976
3059-7,-23.5898546,-46.522881
3060-0,-23.5587756,-46.5193905
3061-9,-23.5906099,-46.5506799
3063-5,-23.5017923,-46.7603496
3064-3,-23.6109758,-46.6233718
3065-1,-23.5582096,-46.6804565
3067-8,-23.4987516,-46.7094684
3070-8,-23.5854388,-46.6170632
3071-6,-23.5062938,-46.6662181
3073-2,-23.527565,-46.6155537
3074-0,-23.5809083,-46.5104652
3075-9,-23.5442297,-46.5104467
3077-5,-23.4862061,-46.6743347
3078-3,-23.507257,-46.7403807
3079-1,-23.4704135,-46.6945029
3080-5,-23.5861183,-46.528146
3081-3,-23.510103,-46.6512716
3082-1,-23.5319951,-46.4793448
3083-0,-23.6352526,-46.5922456
3084-8,-23.507599,-46.4688171
3085-6,-23.6822041,-46.7121093
3087-2,-23.6746177,-46.7411818
3090-2,-23.6701385,-46.6660404
3092-9,-23.485886,-46.4873288
3093-7,-23.6219229,-46.4644307
3094-5,-23.5679201,-46.4825246
3095-3,-23.5505714,-46.4259858
3097-0,-23.6089311,-46.5143908
3098-8,-23.5040786,-46.5056848
3099-6,-23.4920772,-46.3914349
3100-3,-23.681548,-46.7811917
3101-1,-23.6574235,-46.7328998
3102-0,-23.5863656,-46.7368773
3103-8,-23.6462567,-46.7791857
3104-6,-23.6006192,-46.795343
3106-2,-23.6920686,-46.7425107
3110-0,-23.5023627,-46.4647807
3111-9,-23.5199526,-46.4399404
3112-7,-23.6138861,-46.5003079
3113-5,-23.7535688,-46.6685273
3116-0,-23.4509091,-46.684267
3118-6,-23.4592588,-46.6684148
3124-0,-23.4892871,-46.4150553
3127-5,-23.5080142,-46.4067551
3129-1,-23.6180522,-46.6799328
3132-1,-23.8088905,-46.7373271
3134-8,-23.6169923,-46.4792537
3135-6,-23.5266236,-46.67662
3137-2,-23.5834005,-46.674976
3139-9,-23.5104905,-46.5431982
3140-2,-23.5182268,-46.4473519
3142-9,-23.4977528,-46.4425615
3144-5,-23.5572073,-46.6346865
3145-3,-23.5942681,-46.6254383
3146-1,-23.5448833,-46.4142657
3147-0,-23.4424289,-46.7356749
3149-6,-23.5917137,-46.5013183
3151-8,-23.5142369,-46.4272959
3153-4,-23.6483914,-46.5998884
3155-0,-23.5973156,-46.4476835
3157-7,-23.6255356,-46.4457278
3158-5,-23.4391601,-46.7504558
3160-7,-23.5164178,-46.4608897
3162-3,-23.6244852,-46.4642773
3164-0,-23.5189215,-46.7051909
3230-1,-23.5989889,-46.5164685
3235-2,-23.4920597,-46.4417803
3324-3,-23.5030775,-46.3659107
3400-2,-23.471317,-46.6361077
3401-0,-23.6070209,-46.4437962
3402-9,-23.5423578,-46.5361244
3489-4,-23.6403996,-46.7462863
3744-3,-23.54192,-46.44936
3789-3,-23.4984221,-46.6132418
3815-6,-23.40706678,-46.75466799
3835-0,-23.50043133,-46.39725592
3869-5,-23.6420072,-46.7669739
3900-4,-23.5507224,-46.7180067
4000-2,-23.6079745,-46.4749318
4001-0,-23.5561135,-46.6246173
4002-9,-23.5689403,-46.6287692
4003-7,-23.5372621,-46.6112498
4004-5,-23.552977,-46.5994422
4005-3,-23.5298979,-46.6249485
4007-0,-23.5843661,-46.6245094
4008-8,-23.5788727,-46.6437253
4009-6,-23.5762209,-46.6124651
