id,dia,categoria,tipo_logradouro,logradouro,numero,bairro,cep,subprefeitura,lat,lng,geocode_status,distrito
1119-3,Domingo,Tradicional,Rua,Manoel Da Costa Dantas,99,Jardim Ranieri,04942-000,M'Boi Mirim,-23.6950646,-46.7793888,painel_prefeitura,Jardim Angela
1121-5,Domingo,Tradicional,Rua,Maria Benedita Rodrigues,42,Parque Santo Antonio,05851-300,M'Boi Mirim,-23.662455,-46.7540432,painel_prefeitura,Jardim Sao Luis
1123-1,Domingo,Tradicional,Rua,Rainha Das Missoes,70,Vila Missionaria,04430-010,Cidade Ademar,-23.6860524,-46.6481218,painel_prefeitura,Cidade Ademar
1124-0,Domingo,Tradicional,Rua,Xavier Palmerim,35,Parque Savoy City,08275-340,Itaquera,-23.5761876,-46.4848081,painel_prefeitura,Parque do Carmo
1125-8,Domingo,Tradicional,Rua,Cachoeira Mangaval,37,Itaim PauliSanta,08190-350,São Miguel,-23.4839309,-46.389066,painel_prefeitura,Jardim Helena
1126-6,Domingo,Tradicional,Rua,Eng Nogueira Soares,45,Jardim Do Russo,05205-110,Perus,-23.4078598,-46.7632217,painel_prefeitura,Perus
1127-4,Domingo,Tradicional,Rua,Benedita Martins Ramos,115,Jardim Tres Coracoes,04855-290,Capela do Socorro,-23.7673973,-46.6846111,painel_prefeitura,Grajau
1128-2,Domingo,Tradicional,Rua,Delfino Facchina,4040,Jardim Vera Lucia,04409-080,Cidade Ademar,-23.6768404,-46.6499626,painel_prefeitura,Cidade Ademar
1129-0,Domingo,Tradicional,Rua,Gabriel De Carvalho,32,Jardim Boa ViSanta,05583-080,Butantã,-23.5844147,-46.7910414,painel_prefeitura,Raposo Tavares
1130-4,Domingo,Tradicional,Rua,Guapore,210,Ponte Pequena,01109-030,Sé,-23.523346,-46.6282767,painel_prefeitura,Bom Retiro
1131-2,Domingo,Tradicional,Rua,Leonor De Siqueira,50,Jardim Vera Cruz,08310-500,São Mateus,-23.6191684,-46.4698809,painel_prefeitura,Sao Rafael
1133-9,Domingo,Tradicional,Rua,Oscar Freire,2400,Sumare,05409-012,Pinheiros,-23.5524645,-46.6775094,painel_prefeitura,Jardim Paulista
1134-7,Domingo,Tradicional,Praça,Bom Pastor,265,Itaquera,08255-500,Itaquera,-23.5478192,-46.4343841,painel_prefeitura,Jose Bonifacio
1135-5,Domingo,Tradicional,Rua,Penaforte,55,Jardim PauliSantana,02318-260,Jaçanã/Tremembé,-23.4515015,-46.5960823,painel_prefeitura,Tremembe
1138-0,Domingo,Tradicional,Praça,Do Horticultores,415,Eng Goulart,03723-040,Penha,-23.5018044,-46.5161802,painel_prefeitura,Cangaiba
1139-8,Domingo,Tradicional,Estrada,Do Capoeirao,8,Jardim Colonial,04821-310,Capela do Socorro,-23.7256388,-46.6851159,painel_prefeitura,Cidade Dutra
1141-0,Domingo,Tradicional,Rua,Pastoril De Almenara,50,Parque Pan Americano,02993-040,Pirituba/Jaraguá,-23.4501217,-46.7328755,painel_prefeitura,Jaragua
1142-8,Domingo,Tradicional,Rua,Criuva,12,Vila Progresso,08245-300,São Miguel,-23.5129735,-46.4332689,painel_prefeitura,Sao Miguel
1143-6,Domingo,Tradicional,Rua,Pastoril De Itapetinga,12,Vila Silvia,03729-000,Penha,-23.5021631,-46.5079658,painel_prefeitura,Cangaiba
1144-4,Domingo,Tradicional,Avenida,Inacio Dias Da Silva,80,Piraporinha,04913-180,M'Boi Mirim,-23.6730396,-46.7427299,painel_prefeitura,Jardim Sao Luis
1146-0,Domingo,Tradicional,Rua,Dr Humberto Pascale,106,Jardim Jangadeiro,05884-310,Campo Limpo,-23.6757477,-46.7759758,painel_prefeitura,Capao Redondo
1147-9,Domingo,Tradicional,Avenida,Trinta E Sete Conj Faria Lima,10,Parque Cocaia,04840-460,Capela do Socorro,-23.7509671,-46.6787964,painel_prefeitura,Grajau
1149-5,Domingo,Tradicional,Rua,São Lourenco Do Sul,201,Jardim Peri Alto,02633-060,Casa Verde/Cachoeirinha,-23.4606543,-46.6520823,painel_prefeitura,Cachoeirinha
1150-9,Domingo,Tradicional,Rua,Cesar Dias,10,Itaquera,03591-000,Penha,-23.5512445,-46.479742,painel_prefeitura,Artur Alvim
1151-7,Domingo,Tradicional,Rua,Padre Aldemar Moreira,250,Santa Etelvina,08471-010,Cidade Tiradentes,-23.5995369,-46.3980068,painel_prefeitura,Cidade Tiradentes
1152-5,Domingo,Tradicional,Rua,Combate Lagoa Branca,100,Vila Sabrina,02141-080,Vila Maria/Vila Guilherme,-23.4869251,-46.5697547,painel_prefeitura,Vila Medeiros
